# roomId;title;artist
9;The Arnolfini Portrait;Jan van Eyck
10;The Wilton Diptych;Unknown English or French
14;The Virgin and Child;Botticelli
20;The Virgin of the Rocks;Leonardo da Vinci
22;Bacchus and Ariadne;Titian
23;The Ansidei Madonna;Raphael
29;A Young Woman standing at a Virginal;Vermeer
30;Self Portrait at the Age of 34;Rembrandt
32;Samson and Delilah;Rubens
34;The Water-Lily Pond;Monet
41;The Fighting Temeraire;Turner
43;The Hay Wain;Constable
45;Sunflowers;Van Gogh
45;Bathers at Asnieres;Seurat
53;Whistlejacket;Stubbs
58;Christ after the Flagellation;Velazquez
60;Mr and Mrs Andrews;Gainsborough
63;A Wheatfield with Cypresses;Van Gogh
