# from;to;distance
21;20;24
20;19;24
19;17;24
17;16;24
16;15;24
15;29;24
29;30;24
30;32;24
32;33;24
33;34;24
34;35;24
35;36;24
36;37;24
22;23;24
23;24;24
24;26;24
26;27;24
27;28;24
28;29;24
29;14;28
14;11;28
11;10;28
10;9;28
11;12;24
9;8;28
8;7;28
7;6;28
6;4;28
4;2;28
14;5;32
5;4;32
2;46;30
46;45;30
45;44;30
44;43;30
43;42;30
42;41;30
41;40;30
40;36;30
46;39;26
39;38;26
38;36;26
35;34;28
34;41;28
30;31;26
61;60;24
60;51;24
51;52;24
52;53;24
53;54;24
54;55;24
55;56;24
56;57;24
57;58;24
58;59;24
59;60;24
62;59;24
59;52;24
63;58;24
58;53;24
64;58;24
65;57;24
66;57;24
59;9;90
