# id;name;mapX;mapY
2;Room 2;361;353
4;Room 4;326;353
5;Room 5;326;309
6;Room 6;291;354
7;Room 7;257;373
8;Room 8;229;343
9;Room 9;234;269
10;Room 10;289;268
11;Room 11;326;267
12;Room 12;365;268
14;Room 14;326;229
15;Room 15;242;191
16;Room 16;204;208
17;Room 17;207;177
18;Room 18;240;112
19;Room 19;198;141
20;Room 20;198;112
21;Room 21;198;84
22;Room 22;284;84
23;Room 23;283;112
24;Room 24;283;141
25;Room 25;324;142
26;Room 26;268;163
27;Room 27;299;163
28;Room 28;325;163
29;Room 29;330;190
30;Room 30;430;193
31;Room 31;432;157
32;Room 32;538;193
33;Room 33;625;196
34;Room 34;625;273
35;Room 35;582;268
36;Room 36;548;268
37;Room 37;543;230
38;Room 38;496;268
39;Room 39;465;270
40;Room 40;542;310
41;Room 41;625;344
42;Room 42;607;379
43;Room 43;578;370
44;Room 44;543;369
45;Room 45;505;368
46;Room 46;466;377
51;Room 51a;100;235
52;Room 52;103;295
53;Room 53;102;323
54;Room 54;102;351
55;Room 55;102;382
56;Room 56;97;407
57;Room 57;62;389
58;Room 58;62;346
59;Room 59;62;306
60;Room 60;62;257
61;Room 61;30;257
62;Room 62;30;304
63;Room 63;30;335
64;Room 64;31;356
65;Room 65;31;379
66;Room 66;31;397
